safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,city,region,x,y,dist.meters.,area_square_feet
sg:e18002340c9d478ebdfa07d0696a74dd,168500,85972,5.3002E+11,4,2020/4/27,Seattle,WA,-118.3922147,47.15442678,272920.9135,24938322
sg:450d89d2a84a46d88345fb3ad1435362,422579,257665,5.3002E+11,4,2020/4/27,Anacortes,WA,-118.3821442,47.13822584,354001.2895,44914
sg:ed254ca58d4a4b4b90117ab8ba456dd2,114482,232900,5.3002E+11,4,2020/4/27,Kennewick,WA,-118.7679206,46.9437502,82059.40306,118674
sg:562bf61f13334a0896ad164ec7361eb2,216277,197474,5.3002E+11,4,2020/4/27,Pasco,WA,-119.1816217,46.7890736,62534.93003,52302
sg:d3c8e348263f420488955bbee96eb343,216276,179857,5.3002E+11,4,2020/4/27,Moses Lake,WA,-119.1816217,46.7890736,37169.78815,22524
sg:b0a3ebe9d08d4b6985d8be8f4ebe6d8c,303593,300310,5.3002E+11,4,2020/4/27,Othello,WA,-119.0091677,46.82829627,12300.42185,42466
sg:8f185d28eafb4411aa25b999ede38a20,359594,371235,5.3002E+11,4,2020/4/27,Othello,WA,-119.2658231,46.86379234,8853.710959,1185417
sg:2f0c2e31361247448a575af5bab58ded,84006,379997,5.3002E+11,4,2020/4/27,Moses Lake,WA,-119.2030083,46.80823796,34535.7143,3340700
sg:67d52a6fd66b45fe933f6204738e33d3,84005,435326,5.3002E+11,4,2020/4/27,Moses Lake,WA,-119.2030083,46.80823796,37780.1595,1500912
sg:f318f83f447a4b76b30760071bcf2cb5,84004,297329,5.3002E+11,4,2020/4/27,Moses Lake,WA,-119.2030083,46.80823796,36299.42032,167475
sg:8f185d28eafb4411aa25b999ede38a20,98088,371233,5.3002E+11,4,2020/4/27,Othello,WA,-119.1596145,46.82882243,132.0738154,1185417
sg:f05ee26c36e54332a924e18f06159929,98087,162253,5.3002E+11,4,2020/4/27,Othello,WA,-119.1596145,46.82882243,2981.607051,814937
sg:8f185d28eafb4411aa25b999ede38a20,303595,371232,5.3002E+11,4,2020/4/27,Othello,WA,-119.1685794,46.83354212,735.9705542,1185417
sg:b0a3ebe9d08d4b6985d8be8f4ebe6d8c,303594,300311,5.3002E+11,4,2020/4/27,Othello,WA,-119.1685794,46.83354212,866.9935113,42466
sg:21ed78c7bca24d5885d93b52cf3b887a,216274,100748,5.3002E+11,4,2020/4/27,Othello,WA,-119.1528682,46.81022178,1401.942672,645865
sg:8f185d28eafb4411aa25b999ede38a20,216272,371231,5.3002E+11,4,2020/4/27,Othello,WA,-119.1528682,46.81022178,2210.205977,1185417
sg:b0a3ebe9d08d4b6985d8be8f4ebe6d8c,216271,300309,5.3002E+11,7,2020/4/27,Othello,WA,-119.1528682,46.81022178,2188.729776,42466
sg:c8c4192215fa4695b028cb27730dd61a,216270,420263,5.3002E+11,4,2020/4/27,Kennewick,WA,-119.1528682,46.81022178,64763.28978,18795580
sg:d3c8e348263f420488955bbee96eb343,216269,179855,5.3002E+11,4,2020/4/27,Moses Lake,WA,-119.1528682,46.81022178,35298.09234,22524
sg:21ed78c7bca24d5885d93b52cf3b887a,439145,100747,5.3002E+11,15,2020/4/27,Othello,WA,-119.1781942,46.81146793,1080.426479,645865
sg:8874e3596a024eb991be912ba8532bc1,106692,187032,5.3004E+11,4,2020/4/27,Clarkston,WA,-117.0995628,46.35765829,8548.674042,738
sg:3e1bdb156c2647819efda259771b496f,308367,105369,5.3004E+11,4,2020/4/27,Dayton,WA,-117.0404293,46.41067352,73169.6901,121171
sg:8874e3596a024eb991be912ba8532bc1,345943,187035,5.3004E+11,4,2020/4/27,Clarkston,WA,-117.054693,46.38879993,4171.625954,738
sg:77f1721c81be4bcdbadda3cc24634b82,350492,233261,5.3005E+11,4,2020/4/27,Richland,WA,-119.2671785,46.29734135,2017.767987,470537
sg:79501949fd7547fcb255c42df1250de2,350491,374238,5.3005E+11,8,2020/4/27,Richland,WA,-119.2671785,46.29734135,1442.65882,2716841
sg:95aea1c0f2cd4c80b7c7fbb27ad567f7,350490,88449,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2671785,46.29734135,905.0904937,395143
sg:79501949fd7547fcb255c42df1250de2,164860,374237,5.3005E+11,14,2020/4/27,Richland,WA,-119.2625528,46.32847053,2056.187183,2716841
sg:912dc6efa96141fdbd9a6e329d8d0273,164859,48438,5.3005E+11,4,2020/4/27,Richland,WA,-119.2625528,46.32847053,2282.278656,947
sg:95aea1c0f2cd4c80b7c7fbb27ad567f7,164858,88448,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2625528,46.32847053,4306.422398,395143
